net,training_dataset,num_params,depth,lr,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17,acc_18,acc_19,acc_20
"[C(128,3,1), P(2,2), D(1,4), C(128,5,1), C(256,3,1), D(2,4), C(256,5,1), C(64,5,1), D(3,4), C(64,1,1), C(64,5,1), D(4,4), SM(10)]",svhn,2964864,9,0.001,0.663,0.8038,0.849,0.8806,0.8874,0.9124,0.9226,0.9244,0.9258,0.9278,0.9332,0.9362,0.938,0.9388,0.9396,0.9392,0.9406,0.9406,0.941,0.9412
"[C(128,3,1), P(2,2), D(1,4), C(128,5,1), C(512,5,1), D(2,4), C(256,1,1), C(256,5,1), D(3,4), C(128,5,1), SM(10)]",svhn,5049728,8,0.001,0.6314,0.8062,0.8524,0.8716,0.8742,0.913,0.917,0.9164,0.9156,0.9246,0.9256,0.927,0.926,0.9272,0.9258,0.9294,0.9292,0.9298,0.9296,0.9302
"[C(128,3,1), P(5,3), D(1,4), C(128,5,1), C(256,3,1), D(2,4), C(512,5,1), C(64,3,1), D(3,4), C(64,1,1), C(64,5,1), D(4,4), SM(10)]",svhn,4488576,9,0.001,0.6482,0.7788,0.815,0.8336,0.8474,0.871,0.8792,0.88,0.8816,0.882,0.8958,0.8972,0.898,0.8996,0.9018,0.9024,0.9046,0.9044,0.9056,0.905
"[C(128,3,1), P(5,3), D(1,4), C(128,5,1), C(256,3,1), D(2,4), C(256,5,1), C(64,5,1), D(3,4), C(128,5,1), SM(10)]",svhn,3370368,8,0.00016,0.5964,0.8114,0.8544,0.8714,0.888,0.908,0.9086,0.9118,0.9116,0.9136,0.9214,0.9218,0.9218,0.924,0.9238,0.9252,0.9244,0.9244,0.9246,0.9246
"[C(128,3,1), P(2,2), D(1,6), C(128,5,1), C(256,3,1), D(2,6), C(256,5,1), C(64,5,1), D(3,6), C(128,5,1), C(128,1,1), D(4,6), C(256,5,1), C(512,5,1), D(5,6), C(256,3,1), C(128,3,1), D(6,6), SM(10)]",svhn,8695168,13,0.0004,0.7704,0.845,0.8944,0.9084,0.9172,0.9312,0.9326,0.9306,0.9308,0.9316,0.9384,0.9376,0.9374,0.9362,0.937,0.9364,0.936,0.9374,0.9366,0.9366
"[C(128,3,1), P(2,2), D(1,4), C(128,5,1), C(256,1,1), D(2,4), C(256,5,1), C(64,5,1), D(3,4), C(128,5,1), SM(10)]",svhn,3108224,8,0.000064,0.6042,0.7678,0.8214,0.847,0.8566,0.8756,0.8786,0.8872,0.8846,0.8902,0.8922,0.894,0.895,0.8926,0.8942,0.8952,0.8962,0.8966,0.8966,0.8968
"[C(128,3,1), P(3,2), D(1,4), C(64,3,1), C(256,3,1), D(2,4), C(256,5,1), C(64,5,1), D(3,4), C(128,5,1), SM(10)]",svhn,2887040,8,0.00016,0.3534,0.7952,0.8486,0.8736,0.8988,0.9186,0.919,0.9216,0.9236,0.928,0.929,0.93,0.9306,0.9304,0.932,0.9316,0.9322,0.9318,0.9326,0.9328
"[C(128,3,1), C(128,5,1), D(1,4), C(64,3,1), C(256,3,1), D(2,4), C(256,5,1), C(64,5,1), D(3,4), C(128,5,1), SM(10)]",svhn,3296640,8,0.000064,0.6352,0.8062,0.8408,0.8692,0.8796,0.899,0.8998,0.9074,0.907,0.911,0.9144,0.9136,0.9146,0.9148,0.9172,0.917,0.9172,0.9172,0.918,0.917
"[C(128,1,1), C(256,5,1), D(1,3), C(128,5,1), C(256,3,1), D(2,3), C(256,5,1), C(64,5,1), D(3,3), SM(10)]",svhn,4084096,7,0.00016,0.5196,0.843,0.8794,0.9018,0.903,0.9204,0.9206,0.9232,0.9248,0.9224,0.928,0.93,0.9286,0.9274,0.9294,0.9298,0.929,0.9284,0.9292,0.9294
"[C(128,3,1), C(512,1,1), D(1,4), C(128,5,1), C(256,3,1), D(2,4), C(256,5,1), C(64,5,1), D(3,4), C(128,5,1), SM(10)]",svhn,4664704,8,0.000026,0.6474,0.7796,0.8094,0.8306,0.8476,0.8602,0.8602,0.8638,0.8632,0.8678,0.8744,0.8758,0.8764,0.8786,0.8754,0.8774,0.8768,0.8766,0.8768,0.878
"[C(64,3,1), C(256,1,1), D(1,5), C(128,5,1), C(256,3,1), D(2,5), C(256,5,1), C(64,5,1), D(3,5), C(128,5,1), C(256,3,1), D(4,5), C(128,1,1), SM(10)]",svhn,3729088,10,0.000026,0.6398,0.7648,0.8108,0.8422,0.8598,0.875,0.877,0.8774,0.8792,0.8834,0.8858,0.885,0.886,0.8876,0.8888,0.8874,0.8858,0.8866,0.887,0.8874
"[C(128,1,1), C(128,1,1), D(1,4), C(128,5,1), C(256,3,1), D(2,4), C(64,5,1), C(512,1,1), D(3,4), C(128,5,1), P(5,3), D(4,4), SM(10)]",svhn,2802048,9,0.00016,0.3516,0.759,0.8312,0.8698,0.891,0.901,0.9054,0.9082,0.909,0.9084,0.9134,0.9156,0.9152,0.9168,0.916,0.917,0.917,0.916,0.9172,0.9188
"[C(128,1,1), C(256,5,1), D(1,4), C(128,5,1), C(256,1,1), D(2,4), C(256,5,1), C(256,5,1), D(3,4), C(128,5,1), SM(10)]",svhn,6177152,8,0.0004,0.7578,0.8374,0.8706,0.8786,0.8854,0.9098,0.9058,0.9094,0.9068,0.905,0.9144,0.9128,0.9134,0.9132,0.9114,0.9124,0.9122,0.9132,0.9112,0.9132
